hex_id,Manu,Model,engnum,Engmanu,Engtype,Engmodel,Fueltype,Airframe,Propmanu,Propmodel,MTOW,ICAOtypedesig
000000,,,0,,,,,,,,0,0
06A063,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
06A070,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
06A1BD,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
06A1C0,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
06A2B1,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
06A2B2,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
06A2B7,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
06A2B8,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
06A2C5,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
06A2C6,THE BOEING COMPANY,777-300ER,2,GENERAL ELECTRIC COMPANY,Turbofan,GE90-115B,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,351800,B77W
5001DE,BOMBARDIER INC.,BD-700 Global 5000,2,ROLLS ROYCE LTD,Turbofan,BR710A2-20,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,39800,GL5T
75025A,AIRBUS INDUSTRIE,A330-323X,2,PRATT & WHITNEY CANADA,Turbofan,PW4168A,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,242000,A333
750260,AIRBUS INDUSTRIE,A330-323X,2,PRATT & WHITNEY CANADA,Turbofan,PW4170,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,242000,A333
750262,AIRBUS INDUSTRIE,A330-323X,2,PRATT & WHITNEY CANADA,Turbofan,PW4170,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,242000,A333
76CD0B,AIRBUS INDUSTRIE,A350-941,2,ROLLS ROYCE LTD,Turbofan,TRENT XWB,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,270000,A359
76CD0E,AIRBUS INDUSTRIE,A350-941,2,ROLLS ROYCE LTD,Turbofan,TRENT XWB,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,270000,A359
76CD11,AIRBUS INDUSTRIE,A350-941,2,ROLLS ROYCE LTD,Turbofan,TRENT XWB,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,270000,A359
76CD13,AIRBUS INDUSTRIE,A350-941,2,ROLLS ROYCE LTD,Turbofan,TRENT XWB,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,270000,A359
76CD15,AIRBUS INDUSTRIE,A350-941,2,ROLLS ROYCE LTD,Turbofan,TRENT XWB,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,270000,A359
7C019D,BEECH AIRCRAFT CORP,95-B55,2,TELEDYNE-CONTINENTAL MOTORS,Piston,IO-470,Gasoline,Power Driven Aeroplane,MCCAULEY PROPELLERS,2AF36C89,2313,BE55
7C05B5,PILATUS AIRCRAFT LTD,PC-12/47E,1,PRATT & WHITNEY CANADA,Turboprop,PT6A-67P,Kerosene,Power Driven Aeroplane,HARTZELL PROPELLERS,HC-E4A-3D,4740,PC12
7C07CD,CESSNA AIRCRAFT COMPANY,172S,1,TEXTRON LYCOMING,Piston,IO-360-L2A,Gasoline,Power Driven Aeroplane,MCCAULEY PROPELLERS,1A170E/JHA7660,1148,C172
7C15AB,SAAB AIRCRAFT AB,340A,2,GENERAL ELECTRIC COMPANY,Turboprop,CT7-5A2,Kerosene,Power Driven Aeroplane,DOWTY PROPELLERS,R.389/4-123-F/26,12930,SF34
7C1A29,FOKKER AIRCRAFT B.V.,F28MK0100,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,44450,F100
7C1ABD,FOKKER AIRCRAFT B.V.,F28 MK 0100,2,ROLLS ROYCE LTD,Turbofan,TAY 650-15,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,44450,F100
7C1B0F,PILATUS AIRCRAFT LTD.,PC-24,2,WILLIAMS INTERNATIONAL,Turbofan,FJ44-4A-QPM9,Kerosene,Power Driven Aeroplane,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,8300,PC24
7C1B2B,PILATUS AIRCRAFT LTD,PC-12/47E,1,PRATT & WHITNEY CANADA,Turboprop,PT6A-67P,Kerosene,Power Driven Aeroplane,HARTZELL PROPELLER INC.,HC-E5A-3A/NC10245B,4740,PC12
7C1C44,PILATUS AIRCRAFT LTD,PC-12/47E,1,PRATT & WHITNEY CANADA,Turboprop,PT6A-67P,Kerosene,Power Driven Aeroplane,HARTZELL PROPELLER INC.,HC-E4A-3D/E10477SK,4740,PC12
7C1C95,PILATUS AIRCRAFT LTD,PC-12/47E,1,PRATT & WHITNEY CANADA,Turboprop,PT6A-67P,Kerosene,Power Driven Aeroplane,HARTZELL PROPELLERS,HC-E4A-3D,4740,PC12
7C1C99,PILATUS AIRCRAFT LTD,PC-12/47E,1,PRATT & WHITNEY CANADA,Turboprop,PT6A-67P,Kerosene,Power Driven Aeroplane,HARTZELL PROPELLER INC.,HC-E4A-3D/E10477SK,4740,PC12
7C1CA2,PILATUS AIRCRAFT LTD,PC-12/47E,1,PRATT & WHITNEY CANADA,Turboprop,PT6A-67P,Kerosene,Power Driven Aeroplane,HARTZELL PROPELLER INC.,HC-E5A-3A/NC10245B,4740,PC12
7C1CA5,PILATUS AIRCRAFT LTD,PC-12/47E,1,PRATT & WHITNEY CANADA,Turboprop,PT6A-67P,Kerosene,Power Driven Aeroplane,HARTZELL PROPELLER INC.,HC-E5A-3A/NC10245B,4740,PC12
